TimeStamp,ProductionGe100MW,ProductionLt100MW,SolarPower,OffshoreWindPower,OnshoreWindPower,Exchange_Sum,CO2Emission
2025-04-15 04:00:00,137.75,472.2,2.51,1147.2,792.24,1228.37,24.96
2025-04-15 05:00:00,137.71,545.98,2.37,1261.65,911.5,943.57,25.51
2025-04-15 06:00:00,137.5,507.01,33.98,1552.78,993.59,937.1,21.13
2025-04-15 07:00:00,137.55,529.68,284.14,1868.43,1180.29,633.51,19.95
2025-04-15 08:00:00,136.74,466.91,823.13,1953.99,1268.98,143.19,17.67
2025-04-15 09:00:00,118.57,409.93,1485.63,2143.42,1467.85,-438.54,12.81
2025-04-15 10:00:00,84.88,385.26,1794.99,2038.54,1844.11,-388.27,11.81
2025-04-15 11:00:00,27.6,350.5,1978.27,1478.58,2283.83,-183.4,12.01
2025-04-15 12:00:00,2.96,343.53,2049.98,530.89,2599.36,612.91,39.97
2025-04-15 13:00:00,3.13,351.38,2004.57,549.0,2615.29,439.42,30.14
2025-04-15 14:00:00,5.63,359.95,2259.53,1019.04,3128.94,-1054.99,10.57
2025-04-15 15:00:00,8.55,339.52,2449.69,1439.72,3180.75,-1737.7,9.82
2025-04-15 16:00:00,29.01,349.5,1781.0,2253.36,3185.51,-1923.46,10.35
2025-04-15 17:00:00,41.74,350.7,1184.53,2214.92,2800.09,-983.33,11.89
2025-04-15 18:00:00,42.45,443.85,753.78,2425.97,3042.76,-1804.6,17.68
2025-04-15 19:00:00,40.7,636.04,206.63,2424.69,2678.61,-1400.19,44.71
2025-04-15 20:00:00,56.23,616.14,17.02,2405.79,2517.26,-1202.99,51.2
2025-04-15 21:00:00,58.45,405.32,7.78,2278.55,2428.3,-642.96,16.32
2025-04-15 22:00:00,32.14,401.05,8.06,2113.89,2465.98,-581.06,16.0
2025-04-15 23:00:00,29.16,416.17,7.85,2149.55,2336.54,-824.39,16.71
2025-04-16 00:00:00,38.1,440.09,8.01,2273.3,2126.74,-942.74,17.65
2025-04-16 01:00:00,63.93,493.5,5.36,1839.76,1793.11,-481.47,23.82
2025-04-16 02:00:00,73.53,759.99,2.45,1242.35,1473.02,-218.44,104.71
2025-04-16 03:00:00,103.72,471.23,1.68,1075.3,1247.32,455.99,35.81
2025-04-16 04:00:00,194.75,382.16,0.94,1125.11,1045.02,733.17,43.1
2025-04-16 05:00:00,359.54,396.51,1.7,1263.41,904.16,691.34,60.45
2025-04-16 06:00:00,423.44,434.48,10.54,990.61,782.37,1212.85,70.59
2025-04-16 07:00:00,402.35,484.8,142.95,902.44,558.5,1763.69,76.11
2025-04-16 08:00:00,461.35,510.89,492.4,594.14,399.1,2056.44,60.28
2025-04-16 09:00:00,432.23,492.58,928.79,463.68,317.7,1992.76,53.81
2025-04-16 10:00:00,336.29,430.16,1632.55,355.63,237.84,1764.3,42.32
2025-04-16 11:00:00,267.85,409.13,2334.52,221.6,150.32,1524.51,33.04
2025-04-16 12:00:00,231.21,419.41,2772.95,165.85,88.23,1191.51,41.1
2025-04-16 13:00:00,194.64,401.41,2797.46,146.25,91.99,1273.51,30.99
2025-04-16 14:00:00,188.36,420.86,2735.3,129.42,98.92,1150.94,32.77
2025-04-16 15:00:00,180.17,435.01,2525.67,113.91,75.79,1229.22,38.34
2025-04-16 16:00:00,260.16,429.11,2085.2,131.92,106.84,1424.24,50.4
2025-04-16 17:00:00,451.22,459.77,1442.79,125.66,196.27,1742.76,80.68
2025-04-16 18:00:00,571.91,503.5,718.13,162.58,152.5,2243.85,104.45
2025-04-16 19:00:00,584.77,609.02,313.81,182.98,136.99,2454.94,108.02
